epoch,train_loss,train_acc,test_loss,test_acc,train_time,eval_time,epoch_time
1,0.11665506844222545,0.9662166666666666,0.0322789575021714,0.9899,15.004180431365967,1.7946677207946777,16.798850059509277
2,0.024669491691639026,0.9926166666666667,0.025020290235010907,0.9912,15.875701189041138,1.8163034915924072,17.6920063495636
3,0.013909174998539189,0.9960333333333333,0.023945780430175364,0.9921,15.790623664855957,1.8155004978179932,17.606126308441162
4,0.009347006408621867,0.99765,0.018870343974092974,0.9939,15.836017608642578,1.8438713550567627,17.679890632629395
5,0.007294703452506413,0.9978166666666667,0.034547736296989026,0.9904,15.91681456565857,1.808363676071167,17.725180625915527
6,0.00517279571465527,0.99855,0.02479722284222953,0.9923,15.821945190429688,1.7866978645324707,17.60864496231079
7,0.0020923406479880216,0.9996333333333334,0.018167073517828248,0.9946,15.783973693847656,1.8004908561706543,17.584465980529785
8,0.002854238649395605,0.9992666666666666,0.027734050535643474,0.9928,15.865312576293945,1.818798303604126,17.68411350250244
9,0.003675803609130283,0.9989333333333333,0.023041916793561542,0.9934,15.877314567565918,1.7904279232025146,17.667744636535645
10,0.00409633601102978,0.9988833333333333,0.016989395025442354,0.9951,15.885939121246338,1.7911298274993896,17.67707109451294
